ortografi,PoS,RedPoS,xmin,xmax,speaker,turnummer,gold
nej,I=,INTERJ,94.209,94.421,DRJ,20,O
jeg,PP1CSN-NU,PRON_PERS,94.421,94.633,DRJ,20,B-NP
synes,VEDR=----A-,V_MED_PRES,94.633,94.843,DRJ,20,
der,U=,UNIK,94.843,94.99233333,DRJ,20,
er,VADR=----A-,V_PRES,94.99233333,95.14166667,DRJ,20,
meget,ANP.SU=IU,ADJ,95.14166667,95.291,DRJ,20,
forskel,NCCSU==I,N,95.291,95.752,DRJ,20,
men,CC,SKONJ,95.752,95.8435,DRJ,20,
jeg,PP1CSN-NU,PRON_PERS,95.8435,95.935,DRJ,20,
synes,VEDR=----A-,V_MED_PRES,95.935,96.119,DRJ,20,
alligevel,RGU,ADV,96.119,96.568,DRJ,20,
de,PP3.PN-NU,PRON_PERS,96.568,96.763,DRJ,20,
lignede,VADA=----A-,V_PAST,96.763,96.958,DRJ,20,
hinanden,PC--PU---,PRON_REC,96.958,97.1815,DRJ,20,
en,PI-CSU--U,PRON_UBST,97.1815,97.405,DRJ,20,
lille,ANP.SU=.U,ADJ,97.405,97.571,DRJ,20,
smule,NCCSU==I,N,97.571,98.022,DRJ,20,
altså,RGU,ADV,98.022,98.473,DRJ,20,
sådan,RGU,ADV,98.473,98.746,DRJ,20,
jeg,PP1CSN-NU,PRON_PERS,98.746,99.019,DRJ,20,
..,,,99.019,99.13,DRJ,20,
ja,I=,INTERJ,169.553,169.76,DRJ,40,
og,CC,SKONJ,169.76,169.967,DRJ,40,
Hannes,NP--G==-,EGEN_GEN,169.967,170.346,DRJ,40,
far,NCCSU==I,N,170.346,170.4825,DRJ,40,
og,CC,SKONJ,170.4825,170.619,DRJ,40,
mor,NCCSU==I,N,170.619,170.727,DRJ,40,
er,VADR=----A-,V_PRES,170.727,170.835,DRJ,40,
fra,SP,PRÃ†P,170.835,171.022,DRJ,40,
Sjælland,NP--U==-,EGEN,171.022,171.56,DRJ,40,
..,,,171.56,172.02,DRJ,40,
tag,NCNSU==I,N,664.809,664.89575,JRJ,187,
ham,PP3CSU-NU,PRON_PERS,664.89575,664.9825,JRJ,187,
med,SP,PRÃ†P,664.9825,665.06925,JRJ,187,
op,RGU,ADV,665.06925,665.156,JRJ,187,
på,SP,PRÃ†P,665.156,665.3256667,JRJ,187,
dit,PO2NSUSNU,PRON_POSS,665.3256667,665.4953333,JRJ,187,
værelse,NCNSU==I,N,665.4953333,665.665,JRJ,187,
der,U=,UNIK,665.665,665.739,JRJ,187,
er,VADR=----A-,V_PRES,665.739,665.813,JRJ,187,
så,RGU,ADV,665.813,665.9226667,JRJ,187,
meget,ANP.SU=IU,ADJ,665.9226667,666.0323333,JRJ,187,
han,NCCSU==I,N,666.0323333,666.142,JRJ,187,
gerne,RGU,ADV,666.142,666.2365,JRJ,187,
vil,VADR=----A-,V_PRES,666.2365,666.331,JRJ,187,
kigge,VAF-=----A-,V_INF,666.331,666.5195,JRJ,187,
på,SP,PRÃ†P,666.5195,666.708,JRJ,187,
nej,I=,INTERJ,757.206,757.429,XIP,213,
..,,,757.429,757.865,XIP,213,
men,CC,SKONJ,757.865,757.962,XIP,213,
tror,VADR=----A-,V_PRES,757.962,758.0605,XIP,213,
du,PP2CSN-NU,PRON_PERS,758.0605,758.159,XIP,213,
der,U=,UNIK,758.159,758.2675,XIP,213,
er,VADR=----A-,V_PRES,758.2675,758.376,XIP,213,
det,PP3NSU-NU,PRON_PERS,758.376,758.469,XIP,213,
oppe,RGU,ADV,758.469,758.562,XIP,213,
i,SP,PRÃ†P,758.562,758.655,XIP,213,
det,PP3NSU-NU,PRON_PERS,758.655,758.7925,XIP,213,
andet,PI-NSU--U,PRON_UBST,758.7925,758.93,XIP,213,
kvarter,NCNSU==I,N,758.93,759.25,XIP,213,
nu,RGU,ADV,759.25,759.393,XIP,213,
..,,,759.393,759.677,XIP,213,
ellers,RGU,ADV,871.314,871.506,DRJ,243,
så,RGU,ADV,871.506,871.698,DRJ,243,
dem,PP3.PU-NU,PRON_PERS,871.698,872.023,DRJ,243,
deroppeaf,XZ,,872.023,872.438,DRJ,243,
de,PP3.PN-NU,PRON_PERS,872.438,872.585,DRJ,243,
har,VADR=----A-,V_PRES,872.585,872.6885,DRJ,243,
ikke,RGU,ADV,872.6885,872.792,DRJ,243,
sådan,RGU,ADV,872.792,873.181,DRJ,243,
....,,,873.181,874.193,DRJ,243,
inden,RGU,ADV,874.193,874.2785,DRJ,243,
ved,SP,PRÃ†P,874.2785,874.364,DRJ,243,
siden,RGU,ADV,874.364,874.523,DRJ,243,
af,SP,PRÃ†P,874.523,874.682,DRJ,243,
har,VADR=----A-,V_PRES,874.682,874.798,DRJ,243,
de,PP3.PN-NU,PRON_PERS,874.798,874.914,DRJ,243,
ingen,PI-CSU--U,PRON_UBST,874.914,875.03,DRJ,243,
små,ANP.PU=.U,ADJ,875.03,875.38,DRJ,243,
