RedPoS,label,ortografi
ADV,O,sÃ¥
....,O,....
SKONJ,O,og
PRON_DEMO,B-NP,det
ADJ,I-NP,fÃ¸rste
PRON_PERS,B-NP,I
V_PRES,O,skal
V_INF,O,gÃ¸re
V_PRES,O,kan
PRON_PERS,B-NP,I
V_INF,O,huske
PRON_PERS,B-NP,I
V_PRES,O,har
ADV,O,ogsÃ¥
V_PARTC_PAST,O,vÃ¦ret
ADV,O,med
PRÃ†P,O,til
PRON_PERS,B-NP,det
ADV,O,her
UKONJ,O,fÃ¸r
ADV,O,ikke
..,O,..
PRON_PERS,B-NP,I
V_PAST,O,var
PRÃ†P,O,med
ADJ,B-NP,sidste
N,I-NP,Ã¥r
ADV,O,ogsÃ¥
....,O,....
PRON_DEMO,B-NP,det
ADJ,I-NP,fÃ¸rste
PRON_PERS,B-NP,I
V_PRES,O,skal
V_INF,O,gÃ¸re
PRON_PERS,O,det
V_PRES,O,er
PRON_PERS,B-NP,I
V_PRES,O,skal
V_INF,O,tÃ¦lle
PRÃ†P,O,til
NUM,O,ti
..,O,..
PRÃ†P,O,pÃ¥
INTERJ,O,Ã¸h
..,O,..
PRÃ†P,O,pÃ¥
N,B-NP,skift
....,O,....
PRON_INTER_REL,B-NP,hvem
V_PRES,O,vil
V_INF,O,starte
....,O,....
PRON_PERS,B-NP,det
V_PRES,O,mÃ¥
PRON_PERS,B-NP,du
ADV,O,gerne
....,O,....
ADV,O,bare
N,O,tÃ¦l
PRÃ†P,O,til
NUM,O,ti
..,O,..
SKONJ,O,og
PRON_PERS,O,sig
PRON_POSS,B-NP,dit
N,I-NP,navn
....,O,....
INTERJ,O,mm
V_PRES,O,skal
PRON_PERS,B-NP,jeg
V_INF,O,tÃ¦lle
PRÃ†P,O,til
NUM,O,ti
..,O,..
INTERJ,O,ja
...,O,...
PRON_UBST,O,en
....,O,....
NUM,O,to
....,O,....
NUM,O,tre
....,O,....
NUM,O,fire
....,O,....
NUM,O,fem
....,O,....
NUM,O,seks
....,O,....
NUM,O,syv
....,O,....
NUM,O,otte
....,O,....
NUM,O,ni
....,O,....
NUM,O,ti
...,O,...
EGEN,B-NP,Sandra
...,O,...
PRON_PERS,O,det
V_PAST,O,var
ADJ,O,godt
...,O,...
ADV,O,sÃ¥
V_PRES,O,er
PRON_PERS,O,det
PRON_PERS,B-NP,dig
....,O,....
PRON_UBST,O,en
....,O,....
NUM,O,to
....,O,....
NUM,O,tre
....,O,....
NUM,O,fire
....,O,....
NUM,O,fem
....,O,....
NUM,O,seks
....,O,....
NUM,O,syv
....,O,....
NUM,O,otte
....,O,....
NUM,O,ni
...,O,...
NUM,O,ti
..,O,..
EGEN,B-NP,Sarah
FORK,O,X
..,O,..
EGEN,B-NP,Sarah
FORK,O,X
ADJ,O,perfekt
..,O,..
ADJ,O,mange
INTERJ,O,tak
...,O,...
ADV,O,sÃ¥
V_PRES,O,er
PRON_PERS,O,det
PRON_PERS,B-NP,dig
....,O,....
PRON_UBST,O,en
....,O,....
NUM,O,to
....,O,....
NUM,O,tre
....,O,....
NUM,O,fire
....,O,....
NUM,O,fem
....,O,....
NUM,O,seks
....,O,....
NUM,O,syv
....,O,....
NUM,O,otte
....,O,....
NUM,O,ni
....,O,....
NUM,O,ti
..,O,..
EGEN,B-NP,Lukas
...,O,...
INTERJ,O,tak
....,O,....
SKONJ,O,og
ADV,O,sÃ¥
V_PRES,O,er
PRON_PERS,B-NP,det
PRON_PERS,B-NP,dig
...,O,...
PRON_UBST,O,en
....,O,....
NUM,O,to
....,O,....
NUM,O,tre
....,O,....
NUM,O,fire
....,O,....
NUM,O,fem
....,O,....
NUM,O,seks
....,O,....
NUM,O,syv
....,O,....
NUM,O,otte
....,O,....
NUM,O,ni
....,O,....
NUM,O,ti
...,O,...
Ehab,B-NP,Ehab
FORK,O,X
...,O,...
ADJ,O,smukt
..,O,..
PRON_PERS,B-NP,det
V_PAST,O,var
ADJ,O,godt
...,O,...
INTERJ,O,Ã¸h
...,O,...
V_PRES,O,vil
PRON_PERS,B-NP,du
INTERJ,O,Ã¸h
V_INF,O,fortÃ¦lle
PRON_PERS,B-NP,dem
PRON_INTER_REL,B-NP,hvad
PRON_PERS,B-NP,de
V_PRES,O,skal
V_INF,O,lave
Narges,B-NP,Narges
...,O,...
INTERJ,O,ja
...,O,...
INTERJ,O,Ã¸h
....,O,....
PRON_PERS,B-NP,det
ADV,O,her
....,O,....
V_PRES,O,er
PRÃ†P,O,om
INTERJ,O,Ã¸h
N,B-NP,sprog
....,O,....
ADV,O,hvor
ADJ,O,mange
N,B-NP,sprog
PRON_PERS,O,vi
V_PRES,O,kan
N,O,tale
PRÃ†P,O,pÃ¥
..,O,..
SKONJ,O,eller
...,O,...
ADV,O,hvor
ADJ,O,mange
N,B-NP,mÃ¥der
PRON_PERS,O,vi
V_PRES,O,kan
N,O,tale
PRÃ†P,O,pÃ¥
...,O,...
INTERJ,O,Ã¸h
....,O,....
V_PRES,O,kan
PRON_PERS,B-NP,I
PRON_UBST,B-NP,nogle
..,I-NP,..
PRON_UBST,I-NP,andre
N,I-NP,sprog
UKONJ,I-NP,end
ADJ,I-NP,dansk
....,O,....
INTERJ,O,ja
...,O,...
ADV,O,sÃ¥
V_PRES,O,er
PRON_PERS,O,det
PRON_PERS,B-NP,dig
Ehab,B-NP,Ehab
......,O,......
V_PRES,O,skal
PRON_PERS,B-NP,jeg
V_INF,O,tÃ¦lle
....,O,....
INTERJ,O,uno
..,O,..
N_GEN,O,dos
NUM,O,tres
N,O,anglo
cinco,O,cinco
siete,O,siete
..,O,..
ocho,O,ocho
..,O,..
nueve,O,nueve
diez,O,diez
...,O,...
